pais,tipo_energia,total_gerado,unidade
Cabo Verde,Coal,0.0,TWh
Burundi,Coal,0.0,TWh
Poland,Nuclear,0.0,TWh
Lebanon,Coal,0.0,TWh
Serbia,Nuclear,0.0,TWh
Norway,Nuclear,0.0,TWh
Macao,Coal,0.0,TWh
Burkina Faso,Gas,0.0,TWh
Dominica,Nuclear,0.0,TWh
Moldova,Nuclear,0.0,TWh
Latvia,Coal,0.0,TWh
Namibia,Nuclear,0.0,TWh
Turkey,Nuclear,0.0,TWh
Moldova,Coal,0.0,TWh
Papua New Guinea,Nuclear,0.0,TWh
Uganda,Nuclear,0.0,TWh
Cote d'Ivoire,Coal,0.0,TWh
Cabo Verde,Gas,0.0,TWh
Iceland,Nuclear,0.0,TWh
"Palestine, State of",Gas,0.0,TWh
Oman,Coal,0.0,TWh
Latvia,Nuclear,0.0,TWh
Cote d'Ivoire,Nuclear,0.0,TWh
Bahamas (the),Nuclear,0.0,TWh
Philippines (the),Nuclear,0.0,TWh
Greece,Nuclear,0.0,TWh
Fiji,Gas,0.0,TWh
Nigeria,Other Fossil,0.0,TWh
"Palestine, State of",Coal,0.0,TWh
Korea (the Democratic People's Republic of),Gas,0.0,TWh
Nicaragua,Nuclear,0.0,TWh
Niue,Other Fossil,0.0,TWh
Gabon,Coal,0.0,TWh
Sao Tome and Principe,Nuclear,0.0,TWh
Yemen,Nuclear,0.0,TWh
Dominica,Gas,0.0,TWh
Virgin Islands (British),Nuclear,0.0,TWh
Faroe Islands (the),Gas,0.0,TWh
Nauru,Nuclear,0.0,TWh
Angola,Nuclear,0.0,TWh
Sao Tome and Principe,Coal,0.0,TWh
Sri Lanka,Nuclear,0.0,TWh
Solomon Islands,Coal,0.0,TWh
Afghanistan,Nuclear,0.0,TWh
Burundi,Nuclear,0.0,TWh
Greenland,Nuclear,0.0,TWh
Lao People's Democratic Republic (the),Nuclear,0.0,TWh
Belize,Nuclear,0.0,TWh
Virgin Islands (U.S.),Gas,0.0,TWh
Malawi,Gas,0.0,TWh
Kenya,Nuclear,0.0,TWh
Turks and Caicos Islands (the),Gas,0.0,TWh
Bahamas (the),Coal,0.0,TWh
Liberia,Nuclear,0.0,TWh
Cayman Islands (the),Gas,0.0,TWh
Lithuania,Coal,0.0,TWh
Vanuatu,Gas,0.0,TWh
Azerbaijan,Coal,0.0,TWh
Maldives,Nuclear,0.0,TWh
Ecuador,Nuclear,0.0,TWh
Trinidad and Tobago,Coal,0.0,TWh
Saint Vincent and the Grenadines,Gas,0.0,TWh
Mozambique,Coal,0.0,TWh
Virgin Islands (U.S.),Coal,0.0,TWh
Djibouti,Nuclear,0.0,TWh
Iraq,Nuclear,0.0,TWh
Sierra Leone,Coal,0.0,TWh
Congo (the Democratic Republic of the),Coal,0.0,TWh
Oman,Nuclear,0.0,TWh
Jordan,Coal,0.0,TWh
Montserrat,Gas,0.0,TWh
Sudan (the),Gas,0.0,TWh
Bhutan,Coal,0.0,TWh
Equatorial Guinea,Coal,0.0,TWh
Bermuda,Gas,0.0,TWh
French Polynesia,Gas,0.0,TWh
Seychelles,Gas,0.0,TWh
Paraguay,Nuclear,0.0,TWh
"Saint Helena, Ascension and Tristan da Cunha",Gas,0.0,TWh
Mongolia,Nuclear,0.0,TWh
Sudan (the),Coal,0.0,TWh
Central African Republic (the),Gas,0.0,TWh
Saint Pierre and Miquelon,Gas,0.0,TWh
Timor-Leste,Coal,0.0,TWh
Botswana,Gas,0.0,TWh
Bermuda,Coal,0.0,TWh
Uganda,Gas,0.0,TWh
South Sudan,Coal,0.0,TWh
Timor-Leste,Gas,0.0,TWh
Qatar,Nuclear,0.0,TWh
Angola,Coal,0.0,TWh
Cuba,Nuclear,0.0,TWh
Cook Islands (the),Coal,0.0,TWh
Cambodia,Nuclear,0.0,TWh
Estonia,Nuclear,0.0,TWh
Jamaica,Nuclear,0.0,TWh
French Polynesia,Nuclear,0.0,TWh
Madagascar,Nuclear,0.0,TWh
Chad,Gas,0.0,TWh
Haiti,Nuclear,0.0,TWh
Jamaica,Coal,0.0,TWh
Syrian Arab Republic (the),Coal,0.0,TWh
Comoros (the),Nuclear,0.0,TWh
Lesotho,Gas,0.0,TWh
Zimbabwe,Nuclear,0.0,TWh
Saint Vincent and the Grenadines,Nuclear,0.0,TWh
Seychelles,Coal,0.0,TWh
Seychelles,Nuclear,0.0,TWh
Benin,Coal,0.0,TWh
Belize,Coal,0.0,TWh
Samoa,Nuclear,0.0,TWh
Bermuda,Nuclear,0.0,TWh
Australia,Nuclear,0.0,TWh
Papua New Guinea,Coal,0.0,TWh
Albania,Gas,0.0,TWh
Myanmar,Nuclear,0.0,TWh
Dominican Republic (the),Nuclear,0.0,TWh
Kenya,Gas,0.0,TWh
Uzbekistan,Nuclear,0.0,TWh
Cook Islands (the),Gas,0.0,TWh
Turks and Caicos Islands (the),Nuclear,0.0,TWh
Timor-Leste,Nuclear,0.0,TWh
Western Sahara,Gas,0.0,TWh
Cabo Verde,Nuclear,0.0,TWh
Cayman Islands (the),Coal,0.0,TWh
Mali,Nuclear,0.0,TWh
Solomon Islands,Nuclear,0.0,TWh
Yemen,Coal,0.0,TWh
Nepal,Gas,0.0,TWh
Eritrea,Nuclear,0.0,TWh
Ireland,Nuclear,0.0,TWh
Virgin Islands (British),Gas,0.0,TWh
Cayman Islands (the),Nuclear,0.0,TWh
Antigua and Barbuda,Nuclear,0.0,TWh
Niue,Gas,0.0,TWh
Tonga,Gas,0.0,TWh
Albania,Coal,0.0,TWh
Mali,Coal,0.0,TWh
Grenada,Coal,0.0,TWh
Suriname,Nuclear,0.0,TWh
Benin,Nuclear,0.0,TWh
Croatia,Nuclear,0.0,TWh
Antigua and Barbuda,Coal,0.0,TWh
Togo,Nuclear,0.0,TWh
Nicaragua,Coal,0.0,TWh
Mozambique,Nuclear,0.0,TWh
Nauru,Gas,0.0,TWh
Maldives,Coal,0.0,TWh
"Saint Helena, Ascension and Tristan da Cunha",Coal,0.0,TWh
Barbados,Coal,0.0,TWh
Cyprus,Nuclear,0.0,TWh
Libya,Nuclear,0.0,TWh
Venezuela (Bolivarian Republic of),Coal,0.0,TWh
Aruba,Coal,0.0,TWh
Cuba,Coal,0.0,TWh
Mauritania,Gas,0.0,TWh
Dominica,Coal,0.0,TWh
Central African Republic (the),Coal,0.0,TWh
Bosnia Herzegovina,Nuclear,0.0,TWh
Saint Kitts and Nevis,Nuclear,0.0,TWh
Suriname,Coal,0.0,TWh
Bahrain,Nuclear,0.0,TWh
Virgin Islands (British),Coal,0.0,TWh
Central African Republic (the),Nuclear,0.0,TWh
Niue,Nuclear,0.0,TWh
Burkina Faso,Nuclear,0.0,TWh
Nauru,Coal,0.0,TWh
Costa Rica,Nuclear,0.0,TWh
New Caledonia,Gas,0.0,TWh
Sierra Leone,Gas,0.0,TWh
Korea (the Democratic People's Republic of),Nuclear,0.0,TWh
Haiti,Coal,0.0,TWh
Congo (the Democratic Republic of the),Nuclear,0.0,TWh
Togo,Coal,0.0,TWh
Morocco,Nuclear,0.0,TWh
Sao Tome and Principe,Gas,0.0,TWh
Falkland Islands (the) [Malvinas],Gas,0.0,TWh
Madagascar,Gas,0.0,TWh
Panama,Nuclear,0.0,TWh
Nepal,Nuclear,0.0,TWh
Chad,Coal,0.0,TWh
Libya,Coal,0.0,TWh
Grenada,Gas,0.0,TWh
Turks and Caicos Islands (the),Coal,0.0,TWh
Mali,Gas,0.0,TWh
Aruba,Gas,0.0,TWh
Faroe Islands (the),Nuclear,0.0,TWh
Uganda,Coal,0.0,TWh
Iceland,Coal,0.0,TWh
American Samoa,Nuclear,0.0,TWh
Montenegro,Gas,0.0,TWh
Eswatini,Gas,0.0,TWh
Ethiopia,Coal,0.0,TWh
Lesotho,Nuclear,0.0,TWh
Lebanon,Nuclear,0.0,TWh
Burundi,Gas,0.0,TWh
Zimbabwe,Gas,0.0,TWh
Cameroon,Nuclear,0.0,TWh
Djibouti,Coal,0.0,TWh
Honduras,Nuclear,0.0,TWh
Chile,Nuclear,0.0,TWh
