pais,tipo_energia,total_gerado,unidade
Libya,Other Fossil,318.02000000000004,TWh
Taiwan,Other Fossil,318.00000000000006,TWh
Lebanon,Other Fossil,317.9699999999999,TWh
Greece,Gas,317.0799999999999,TWh
Syrian Arab Republic (the),Gas,310.36,TWh
Portugal,Gas,307.68,TWh
Denmark,Coal,307.62999999999994,TWh
Syrian Arab Republic (the),Other Fossil,304.84000000000003,TWh
South Africa,Nuclear,303.6,TWh
Chile,Gas,300.96999999999997,TWh
Argentina,Other Fossil,287.96,TWh
Colombia,Gas,278.21999999999997,TWh
France,Other Fossil,272.92999999999995,TWh
United Kingdom,Other Fossil,272.0400000000001,TWh
Mexico,Nuclear,261.44,TWh
Portugal,Coal,256.05999999999995,TWh
Austria,Gas,247.96,TWh
Romania,Nuclear,239.8,TWh
Romania,Gas,235.31,TWh
Hungary,Gas,235.17000000000002,TWh
Bosnia Herzegovina,Coal,231.65000000000003,TWh
Canada,Other Fossil,219.99999999999997,TWh
Dominican Republic (the),Other Fossil,212.83000000000007,TWh
Finland,Coal,212.81999999999996,TWh
Estonia,Other Fossil,212.8,TWh
Korea (the Democratic People's Republic of),Coal,207.09,TWh
Jordan,Gas,203.15,TWh
Bangladesh,Other Fossil,201.17999999999998,TWh
Trinidad and Tobago,Gas,195.76999999999998,TWh
Poland,Gas,194.46,TWh
New Zealand,Gas,194.16000000000003,TWh
Pakistan,Coal,189.47,TWh
Argentina,Nuclear,187.42,TWh
Finland,Gas,185.15,TWh
Pakistan,Nuclear,172.66,TWh
Ecuador,Other Fossil,159.52999999999997,TWh
Greece,Other Fossil,155.32999999999996,TWh
Singapore,Other Fossil,152.04999999999998,TWh
Hungary,Coal,150.57000000000002,TWh
Finland,Other Fossil,145.31000000000003,TWh
Slovenia,Nuclear,142.78,TWh
Netherlands,Other Fossil,133.27,TWh
Moldova,Gas,132.09999999999997,TWh
Cote d'Ivoire,Gas,131.15,TWh
Kosovo,Coal,128.98999999999998,TWh
Denmark,Gas,125.67,TWh
Philippines (the),Other Fossil,125.25999999999998,TWh
Myanmar,Gas,124.96999999999998,TWh
Jordan,Other Fossil,122.91999999999999,TWh
Australia,Other Fossil,121.68,TWh
Colombia,Coal,120.15,TWh
Bolivia,Gas,119.65,TWh
Slovenia,Coal,117.38000000000002,TWh
Puerto Rico,Gas,117.09,TWh
Mongolia,Coal,115.42999999999999,TWh
Poland,Other Fossil,114.73000000000002,TWh
Lithuania,Nuclear,114.06,TWh
Chile,Other Fossil,111.90000000000002,TWh
Sri Lanka,Other Fossil,110.82000000000001,TWh
Cyprus,Other Fossil,109.49999999999999,TWh
Israel,Other Fossil,106.44000000000004,TWh
Ireland,Coal,104.52000000000001,TWh
North Macedonia,Coal,103.83999999999999,TWh
Belgium,Coal,102.55999999999999,TWh
Jamaica,Other Fossil,102.08,TWh
Belgium,Other Fossil,100.02000000000001,TWh
Austria,Coal,98.51,TWh
Netherlands,Nuclear,97.27999999999999,TWh
Yemen,Other Fossil,97.01,TWh
Portugal,Other Fossil,94.50000000000001,TWh
Turkey,Other Fossil,94.42999999999998,TWh
Lao People's Democratic Republic (the),Coal,92.17000000000002,TWh
Honduras,Other Fossil,92.12,TWh
Brunei Darussalam,Gas,89.84,TWh
Ghana,Gas,89.8,TWh
Slovakia,Coal,89.73,TWh
Dominican Republic (the),Gas,89.67999999999999,TWh
Sudan (the),Other Fossil,87.97,TWh
Ireland,Other Fossil,84.17999999999998,TWh
Zimbabwe,Coal,83.5,TWh
Morocco,Gas,80.76,TWh
Austria,Other Fossil,80.14999999999998,TWh
Morocco,Other Fossil,79.6,TWh
Sweden,Other Fossil,78.15,TWh
Senegal,Other Fossil,77.35000000000001,TWh
Puerto Rico,Coal,73.38999999999999,TWh
Dominican Republic (the),Coal,70.88999999999999,TWh
Malaysia,Other Fossil,70.72,TWh
Iran (Islamic Republic of),Nuclear,69.84,TWh
Czechia,Gas,67.76,TWh
"Tanzania, the United Republic of",Gas,66.78999999999999,TWh
Azerbaijan,Other Fossil,65.18999999999998,TWh
Uzbekistan,Coal,64.63000000000001,TWh
United Arab Emirates,Nuclear,64.55000000000001,TWh
Armenia,Gas,64.03,TWh
Sri Lanka,Coal,63.32000000000001,TWh
Bangladesh,Coal,62.14,TWh
Croatia,Gas,60.760000000000005,TWh
Czechia,Other Fossil,60.55000000000001,TWh
Slovakia,Gas,59.61,TWh
Thailand,Other Fossil,56.739999999999995,TWh
Armenia,Nuclear,56.27,TWh
Kazakhstan,Other Fossil,55.54,TWh
Panama,Other Fossil,54.18,TWh
New Zealand,Coal,53.59,TWh
Latvia,Gas,52.089999999999996,TWh
Cuba,Gas,51.36000000000001,TWh
Bulgaria,Gas,51.24999999999999,TWh
Argentina,Coal,49.190000000000005,TWh
Croatia,Coal,48.760000000000005,TWh
Angola,Other Fossil,48.02,TWh
Nicaragua,Other Fossil,47.61999999999999,TWh
Papua New Guinea,Other Fossil,47.21,TWh
Georgia,Gas,47.120000000000005,TWh
Bahamas (the),Other Fossil,46.00000000000001,TWh
Ghana,Other Fossil,45.77,TWh
El Salvador,Other Fossil,44.779999999999994,TWh
Cambodia,Coal,44.76,TWh
Lithuania,Gas,44.73,TWh
Guatemala,Coal,44.25,TWh
Guatemala,Other Fossil,43.84,TWh
Denmark,Other Fossil,42.98,TWh
Viet Nam,Other Fossil,42.87,TWh
Kenya,Other Fossil,42.54999999999999,TWh
Uzbekistan,Other Fossil,41.47999999999999,TWh
Guam,Other Fossil,40.959999999999994,TWh
